School Number,Division Name,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans
1230,Carroll County  ,Carroll County High,0,19,5,8,0,5,8,21,8,10,3,2,109,142,9,,,1,261,76,108,,65,12,
460,Charlotte County  ,Randolph-Henry High,4,7,8,0,4,23,43,31,9,17,15,0,48,64,4,1,1,2,120,51,40,6,10,9,4
30,Chesterfield County  ,Carver College and Career Academy,13,0,0,,0,9,32,0,2,21,28,2,67,17,,2,2,19,107,42,19,7,32,6,1
740,Chesterfield County  ,Clover Hill High,24,10,21,38,5,11,42,25,13,17,28,3,165,295,9,,,,469,135,255,24,43,12,
840,Chesterfield County  ,Cosby High,40,22,22,24,7,10,31,35,8,15,22,2,125,402,10,,,,537,94,372,30,25,13,3
770,Chesterfield County  ,James River High,13,9,14,20,4,4,12,30,3,11,15,1,156,317,6,,,,479,114,282,19,49,10,5
10,Chesterfield County  ,Lloyd C. Bird High,11,5,5,14,0,6,0,18,11,1,9,15,220,185,5,,1,,411,126,155,30,89,11,
632,Chesterfield County  ,Manchester High,0,12,5,7,4,2,6,0,18,13,1,11,220,260,16,,,,496,137,216,39,85,14,5
530,Chesterfield County  ,Matoaca High,7,0,9,9,10,11,3,2,0,8,7,0,169,220,11,,1,,401,82,203,36,63,17,
580,Chesterfield County  ,Meadowbrook High,7,9,0,4,1,2,5,1,10,39,24,13,255,139,13,,,,407,137,123,22,111,14,
320,Chesterfield County  ,Midlothian High,13,29,0,24,13,23,25,15,7,24,7,2,88,287,13,,,,388,74,268,18,17,7,4
280,Chesterfield County  ,Monacan High,13,11,3,8,5,13,15,3,4,19,18,4,141,227,9,,,,377,79,222,16,50,10,
610,Chesterfield County  ,Thomas Dale High,5,6,0,6,3,9,11,4,9,24,8,12,288,321,12,,,1,622,181,255,25,128,32,1
10,Clarke County  ,Clarke County High,,21,0,6,5,14,7,2,2,2,13,24,39,124,3,,,,166,42,75,9,29,10,1
480,Culpeper County  ,Culpeper County High,19,3,19,30,10,6,27,8,16,17,2,20,125,140,3,,1,1,270,106,93,17,35,16,3
50,Culpeper County  ,Eastern View High,2,18,0,9,7,18,,0,18,9,0,2,159,171,1,,,,331,135,110,,70,16,
151,Cumberland County  ,Cumberland High,0,3,0,8,6,24,6,30,9,0,22,3,44,57,4,,,,105,5,34,3,59,4,
275,Dickenson County  ,Ridgeview High,5,2,10,0,4,6,17,3,1,6,17,0,92,50,4,,,3,149,46,26,3,62,,12
500,Dinwiddie County  ,Dinwiddie County High,2,16,13,15,4,2,6,4,23,,8,7,168,142,12,1,1,3,327,94,105,8,99,11,10
10,Essex County  ,Essex High,2,,2,0,1,5,0,9,2,,5,6,47,45,6,,,,98,33,34,9,18,3,1
660,Fairfax County  ,Annandale High,26,23,12,19,4,19,5,8,15,0,11,45,240,204,7,,,,451,99,185,12,4,5,146
200,Fairfax County  ,Centreville High,8,35,19,3,31,22,27,30,0,16,28,4,179,422,19,,,2,622,110,391,10,9,8,94
131,Fairfax County  ,Chantilly High,31,16,13,44,28,31,35,0,11,34,25,7,155,500,18,,1,,674,124,492,19,12,6,21
1270,Fairfax County  ,Edison High,14,5,22,13,14,19,0,0,0,0,1,,222,300,18,,,1,541,122,244,16,9,13,137
190,Fairfax County  ,Fairfax County Adult High,0,0,0,0,0,0,12,29,5,28,11,3,119,,,2,,,121,13,,9,80,,19
20,Fairfax County  ,Fairfax High,33,20,19,25,4,7,30,1,12,18,4,20,198,393,5,,,2,598,123,374,9,18,5,69
1100,Fairfax County  ,Falls Church High,17,12,21,0,8,19,2,26,9,2,31,15,204,242,11,1,,2,460,122,181,10,16,3,128
32,Fairfax County  ,Herndon High,13,11,1,6,27,18,2,15,5,18,7,16,196,304,10,,1,1,512,145,246,13,98,7,3
1070,Fairfax County  ,Justice High,16,1,21,52,17,49,22,1,39,34,41,41,224,275,5,,,1,505,157,228,12,56,6,46
1460,Fairfax County  ,Langley High,10,6,26,19,6,10,2,21,8,9,13,0,74,402,3,,,,479,28,421,3,3,,24
1060,Fairfax County  ,Madison High,16,40,7,22,19,2,31,23,32,26,9,19,99,436,2,,,,537,52,449,6,27,3,
1290,Fairfax County  ,Marshall High,60,20,0,30,7,23,18,36,38,0,19,49,154,370,5,,1,1,531,62,386,14,6,4,59
790,Fairfax County  ,McLean High,6,52,33,8,37,35,41,39,6,3,23,9,104,440,7,,,,551,65,446,17,8,4,11
420,Fairfax County  ,Mount Vernon High,3,14,1,14,5,7,12,1,0,2,0,0,239,181,7,,,1,428,113,147,30,83,17,38
2211,Fairfax County  ,Mountain View High,0,13,5,4,,0,0,17,29,1,32,11,121,3,,,,,124,38,25,13,23,8,17
1710,Fairfax County  ,Oakton High,3,28,26,44,43,3,9,25,2,24,16,3,127,510,5,,1,,643,54,493,8,3,4,81
2241,Fairfax County  ,South County High,29,16,19,27,0,14,42,18,7,32,0,0,171,345,15,,,3,534,104,345,16,12,11,46
1990,Fairfax County  ,South Lakes High,21,8,25,28,2,59,97,56,100,78,58,94,205,343,8,,,,556,115,351,23,19,4,44
1371,Fairfax County  ,Thomas Jefferson High for Science and Technology,63,86,94,,7,24,4,19,15,1,21,12,,443,,,,,443,1,440,1,,,1
900,Fairfax County  ,West Potomac High,13,9,3,13,53,19,52,31,4,36,19,27,301,327,11,,,,639,107,305,22,8,14,183
1610,Fairfax County  ,West Springfield High,35,0,9,29,3,23,15,7,29,15,20,23,146,368,4,,,1,519,121,347,11,34,5,1
